?committee	?targetTranslationLanguage	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/ITA>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/LAV>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/POL>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/SLK>	26.8
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/BUL>	26.6
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/ELL>	26.6
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/MLT>	26.6
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/BUL>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/BUL>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/HRV>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/HUN>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/POL>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/RON>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/SLV>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/SPA>	26.5
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/SWE>	26.5
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/FRA>	26.4
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/LIT>	26.4
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/RON>	26.4
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/MLT>	26.333333333333333333333333
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/SWE>	26.333333333333333333333333
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/NLD>	26.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/DEU>	26.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/NLD>	26.2
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/SPA>	26.2
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/SPA>	26.166666666666666666666667
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/FIN>	26.0
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/DEU>	26.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/FIN>	26.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/LIT>	26.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/NLD>	26.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/POR>	26.0
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	<http://publications.europa.eu/resource/authority/language/SLK>	26.0
<http://data.europarl.europa.eu/resource/org/C11-4967>	<http://publications.europa.eu/resource/authority/language/ELL>	25.9
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/SWE>	25.666666666666666666666667
<http://data.europarl.europa.eu/resource/org/C11-4967>	<http://publications.europa.eu/resource/authority/language/HRV>	25.545454545454545454545455
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/LIT>	25.5
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/POR>	25.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/HUN>	25.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/LAV>	25.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/LIT>	25.5
